Document	psif
S EE enters medical with Contusion to Right Foot nd toe.	nonsif
Lines saturated with water.	nonsif
FE was assembling a detector holder stand and cart.	nonsif
FE was locking the wheels of the cart by hand using fingers for pressure.	nonsif
Employee provided with feedback on correct technique to be used.	nonsif
Dear Sir Madam.	nonsif
My pregnancy about weeks.	nonsif
On the rd floor there re several x ray lab.	nonsif
Also on the nd floor there re all X ray bays.	nonsif
I m worried whether these labs and bays would impact my fetus.	nonsif
Securing inner liners and spare tires using the drill.	nonsif
It vibrates and causes my hand and wrist pain and swelling.	nonsif
Minor cut to RIGHT Index Finger.	nonsif
Sustained whilst adjusting the integral blade on the Med ELD Production Line.	nonsif
Cleaning the dovetails using a wire wheel blending.	nonsif
Discovered fragments of glass light cover on floor of chemical storage room.	nonsif
Cover is made of heavy duty glass.	nonsif
It stuck by the door.	nonsif
Only door was damaged.	nonsif
There was not any injury.	nonsif
Manhole cover in road near fitness center appears to be sinking in the blacktop.	nonsif
Noticed lump forming on wrist.	nonsif
R wrist still some pain as previous medical visit.	nonsif
Result of doing wire harness same job.	nonsif
Burning numbness and pain.	nonsif
These tasks should NOT have been created on this PM work order.	nonsif
Due to this labor hours are charged to ITN.	nonsif
This also affected the PM Completions PI count for ITN.	nonsif
Inspecting S buckets and adding data to PC on shop floor inspecting.	nonsif
I am here at the installation side at Lichterfelde Berlin Germany.	nonsif
This incident has been upgraded to a Medical Nonwork related injury incident.	nonsif
Employee noticed B.	nonsif
East Wall bulging outwards.	nonsif
Found the Mtce Forklift rental not in working condition.	nonsif
This forklift is shared w Rock Grinding Operations to empty Ball Mill Reject Bins.	nonsif
We came to use the forklift early morning and found it not operable.	nonsif
The site was not recognized by the PM.	nonsif
Further enquiry determined that the email was a phishing spam.	nonsif
Sand blasting trolley is a little bit short to accommodate frame rotor.	nonsif
Conducting Pre lift meeting before the critical lift.	nonsif
Good Safety Practices.	nonsif
The pain continued to worsen and Sam finally reported the incident at pm.	nonsif
Samantha restated that she would be back to work on July th.	nonsif
She immediately felt pain in her lower back and put the box down.	nonsif
The pain in her lower back intensified and her lower neck began to hurt.	nonsif
Twenty minutes after the injury she went into the bathroom and vomited.	nonsif
Minor damage resulted no personal injury.	nonsif
and vehicle s not parked mover foreword and no cones.	nonsif
Operator was opening plug valve with valve wrench.	nonsif
Valve wrench slipped off valve operator and pinched thumb between valve wrench and piping.	nonsif
Employee was wearing proper PPE.	nonsif
Chicago South MVA with Injury Rear Ended by Public.	nonsif
The employee had an ample space cushion from the vehicle in front.	nonsif
Both parties exited the vehicle to assess the damage.	nonsif
The ET immediately called the Supervisor.	nonsif
It was informed this morning that a CCC.	nonsif
Contractor was welding yesterday and something went into his eye.	nonsif
He was wearing the appropriate PPE gear.	nonsif
Associate entered room where an epoxy resin spill recently occurred.	nonsif
Began to experience intense itching within short time.	nonsif
EE states that on at pm.	nonsif
Always wear the proper PPE and be on alert.	nonsif
Body Part Left SHLDR.	nonsif
Joint Pain Shoulder Region Left Shoulder Running blades on Mori Seiki Mill machine.	nonsif
Driver of the bus was using his mobile phone when driving.	nonsif
Job R R B POST TRIM S x yrs.	nonsif
Relates to using bil arms to reach overhead to install the door rubber.	nonsif
Also is lifting guns.	nonsif
Also lifts totes out of van and stacks them on an empty skid.	nonsif
There was no environmental damage and no fines resulted from this event.	nonsif
John was wearing the blue dipped gloves utilized around the plant.	nonsif
Lesions slight scratches on both legs.	nonsif
First aid disinfection provided by Julie CURRAULT.	nonsif
No medical advice seeked.	nonsif
During a lifting task the injured felt pain in his back.	nonsif
The persons from the logistic company were uninjured.	nonsif
The AO discussed his findings with the Station SDSD.	nonsif
Employee walked into door and slipped on wet floor before stepping onto stairs.	nonsif
Employee scrapped right bicep on railing as he fell.	nonsif
Replace rugs and mop area.	nonsif
Today i was doing a site inspection for a new installation of MRI.	nonsif
The new MRI must go in the place of an existing one.	nonsif
So i had to go in to check the existing room.	nonsif
I went inside with the client rep and measured the false ceiling height.	nonsif
and I wanted to check the back of the room.	nonsif
THIS COULD CAUSE AN INJURY FROM SLIPPING AND FALLING.	nonsif
SEE ATTACHED PICTURES.	nonsif
Cleaning out of bunds housekeeping.	nonsif
The insulator was disassembled and proper lower section located and reassembled.	nonsif
Hook safety latch broken crane.	nonsif
CPA was approved on last day of month.	nonsif
Wrong work gloves worn.	nonsif
Employee burned left wrist while applying adhesive tape.	nonsif
The tape did not stick and caise asphalt to build up on tape.	nonsif
the tape then flipped back on operators glove and long sleeve.	nonsif
Employee was stacking on F and felt like someone poked him in the eye.	nonsif
He thought it was a piece of fiberglass.	nonsif
He finished out the night and did not report it to his supervisor.	nonsif
did not know if it was fiberglass or eyelash to cause irritation.	nonsif
Reported this to Houdeshell at the start of D.	nonsif
ROK reader had no dog spray.	nonsif
Frost Loop Incident.	nonsif
Reinforce EHS standards and policies to people.	nonsif
The wound which appeared minor did have the skin broken with some bleeding.	nonsif
Area has been cleaned of all exposed sharps.	nonsif
Informed the driver to carry the bottles correctly.	nonsif
The driver was told the proper way to carry propane bottles.	nonsif
Inform to remove inspection tag of scaffold before any modification.	nonsif
Closed and addressed.	nonsif
HIS RIGHT KNEE STRUCK THE GROUND BEFORE HE REGAINED HIS BALANCE.	nonsif
equipment operator was digging ft.	nonsif
No one was injured.	nonsif
His ankle was struck on the posterior lateral malleolus.	nonsif
Courier stated medical assistance was not needed.	nonsif
Courier was advised to check his path to make sure it is clear.	nonsif
No injury had occurred.	nonsif
Network rack was not safely accessible without endangering themselves while on a ladder.	nonsif
The two double doors by the Rotor Cell.	nonsif
The first hole has been filled but it is getting worse.	nonsif
Related to using a torque gun to secure screws into door latch.	nonsif
Needed to use extra force wiggle gun to get the screws to thread.	nonsif
Tonight the latches are ok.	nonsif
Observed EE operating a powered industrial vehicle.	nonsif
Steve was beginning a PM on the applicator for Position.	nonsif
Metal band was sticking out from box and it stuck in my leg.	nonsif
Oil left on floor where old CNC machines have been removed from production.	nonsif
Use Crew assigned to replace pole due to public damage.	nonsif
During execution of work proper knife technique was observed.	nonsif
The employee was given stitches and discharged.	nonsif
No prescriptions drugs were prescribed.	nonsif
This deviation from standard practiced failed to take into account possible concrete shifting.	nonsif
inch long sections for removal.	nonsif
The curb to be removed was supported by existing inch diameter piers.	nonsif
He then drove him to the emergency room about minutes from the site.	nonsif
Hand placement on gate.	nonsif
Must reach overhead and apply force to plug and clamp parts.	nonsif
Right handed and working with vehicle on right side.	nonsif
Warehouse Operator found the water balance to confirm of water operation log on Sat.	nonsif
Screw gun slipped off screw and punctured finger.	nonsif
Lorraine said she did an oven truck at the beginning of the shift.	nonsif
She noticed her hands breaking out.	nonsif
NB this is teh same cyclinder that was located outside Bd D Kearney.	nonsif
Please contact DK as he maybe able to help.	nonsif
This should be in store as per acetylene procedure.	nonsif
EE Driving the perimeter road in the old area.	nonsif
He drove pass the marker he was looking for in the ditch.	nonsif
Two assembly associated observed working without the required eye protection.	nonsif
Safety emergency lights in the main office area requires inspection to determine proper function.	nonsif
Employee was walking down stairs when his shoes slipped and he wrenched his arm.	nonsif
Auditor has reported visible mist fumes from the return tank together with strong smell.	nonsif
This was during testing operation on texturing machine in unit last week.	nonsif
left wrist and thumb pain DeQuervain from typing.	nonsif
Ergo keyboard under desk tray calculator tilt support implemented.	nonsif
Employee is also following work rotation program as outlined by ergonomic team policy.	nonsif
Extrusion and Quality checked the hoses and connectors for fit.	nonsif
Lots of hoses were changed for looser fitting parts.	nonsif
Had large hole in pants.	nonsif
The Reader was observed with a large hole in their pants.	nonsif
EE was sent to clinic to see the nurse for an evaluation and treatment.	nonsif
not clear which safe allowed to use pics.	nonsif
FIL small lot x months.	nonsif
Approx weight lbs.	nonsif
Talk on eye safety basics.	nonsif
Found a bunch of carts blocking the electrical panel behind the cager machine.	nonsif
Do not block electrical panels.	nonsif
Moved the carts out of there and placed them in their respective location.	nonsif
wooden planks with nails removed from site and disposed in waste collection area.	nonsif
He broke a bone in his right hand.	nonsif
Change in job step task.	nonsif
Using a long handled shovel he moved the debris into a pile.	nonsif
The galvanized sheets are positioned to catch the excess soap from the soap applicator.	nonsif
The employee was wearing gloves.	nonsif
employee noticed the damage when trying to open the closet door No injury occured.	nonsif
Unfortunately crew hit an unmarked cable.	nonsif
The crew stopped and made all proper notifications.	nonsif
The crew checked the maps and locates and confirmed a map discrepancy.	nonsif
Crew had all required PPE and equipment was properly grounded.	nonsif
As a result the crew was not harmed.	nonsif
Crew acknowledged and complied.	nonsif
The crew practiced proper safe work practices and in compliance with CE.	nonsif
The vehicles did not obstruct nor impair residents.	nonsif
Unfortunately my site visit was due to a dig in.	nonsif
The crew provided a dig ticket which was also captured on the job brief.	nonsif
The crew maintained greater than inches form the locates when using the boring machine.	nonsif
The crew potholed to confirm bore head is where it should be.	nonsif
Covered with scaffold material.	nonsif
Lack of gloves and face masks.	nonsif
Left early because of too many cuts on my hands.	nonsif
weight was fifty lbs.	nonsif
Garbage on bothe the rear and passenger floorboards and clothing thrown across the backseat.	nonsif
Em ployee leaves brief visible in front seat.	nonsif
The safety cable caught it stopping it from hitting EE.	nonsif
Scaffolding employee was pulling a nail from a toe board with his hands crossed.	nonsif
Department lead was observed to not be in compliance with the site PPE policy.	nonsif
Communicate the incident corrective actions to other GE sites.	nonsif
Updated dock responsibilities and rules and reviewed with dock employees.	nonsif
Description of incident varied from the truck driver and the injured employee.	nonsif
Generator winders were brazing connections on a medium steam generator field.	nonsif
Bearings on rollers for conveyors a lubricated by hand during PM maintenance.	nonsif
Pain under LT knee and calf feels tight.	nonsif
Experimental mechanic years.	nonsif
Was oil on floor in front of cart.	nonsif
Jam up at the Z loda on wrap machine.	nonsif
Masking of Frame B unit rotor cleaning operations.	nonsif
While reassembling Bearing No of Steam Turbine D at LP side.	nonsif
I have to pull the tires down off of the rack onto the hoist.	nonsif
Contract Employees were working on hydraulic line.	nonsif
Energy device was isolated but all permitting was not complete.	nonsif
I was doing stock keeping in the warehouse.	nonsif
I hurt my left wrist putting away several heavy parts.	nonsif
The continuously lifting of heavy parts caused my wrist to swell up.	nonsif
Review job task and upgrade WSI if necessary.	nonsif
Review WSI method with all employees.	nonsif
Tripping hazard On.	nonsif
Training manager discovered a window ice scraper being used as a door stopper.	nonsif
Surveillance audit of ISO.	nonsif
Customer Switchyard Material Issues.	nonsif
This customer has experienced outages in the past due to wildlife contact.	nonsif
Vest are a standard safety requirement in the Warehouse Building.	nonsif
Struck ribs against an angle iron used to hold a ladder.	nonsif
He had all the required PPE face shield gloves etc.	nonsif
He was preparing the waste heat boiler tubes for assembly.	nonsif
While using the grinder employee complained that his back started hurting.	nonsif
All tasks under the PM were removed and added to the new CM WO.	nonsif
Found water leak in Mens bath room on third floor.	nonsif
Steady leak of clean water from men s urinal.	nonsif
Reported via email to facilities.	nonsif
Good Catch Line of Fire.	nonsif
The install was proceeding smoothly when the cable came to a sudden stop.	nonsif
Again the cable appeared to be stuck.	nonsif
The cable was successfully installed.	nonsif
EE states notices pain in left neck and back of head during last brake.	nonsif
The poly tubing had become brittle allowing for a pin hole leak to occur.	nonsif
Proper PM program has not been implemented.	nonsif
He was wearing safety shoes.	nonsif
He then changed his shoes and drove home.	nonsif
Recommended to the employee to maintain attention.	nonsif
AT THE TIME OF RELEASE THE CHAROLA FALLS AND PRODUCES LEFT HAND CATCH.	nonsif
Notified team leader when notice pain moved from mid back to left of center.	nonsif
The rolls weighed lbs.	nonsif
In lifting the second roll the employee felt a pain in his stomach.	nonsif
ComEd Summer Readiness.	nonsif
KV Bushing Stands Left at Job Location KV Bushing.	nonsif
Everyone was wearing their PPE and no one got hurt.	nonsif
This needs to be repaired.	nonsif
was cleaning out a hole and cut finger on vanwas wearing gloves.	nonsif
CL avoided dig in w unmarked pipe.	nonsif
The job was located on private property.	nonsif
The Crew Leader noticed a manhole that did nt seem to be marked.	nonsif
Not sure how posture is affecting this so an ergo assessment would help.	nonsif
Incident investigation is at the discretion of management.	nonsif
Two weeks ago I was on hand seal.	nonsif
He was hitting a piping wrench with a hammer to loosen a pipe plug.	nonsif
Suggested adding replacing preshift check sheets for the tow motors.	nonsif
While picking up empty K boxes bent over and felt pop in lower back.	nonsif
Cross arm sticking out of box tripping hazard.	nonsif
The impact crushed the skid that was on the lift completely.	nonsif
No one was hurt and there was no property damage.	nonsif
Ventilation alarm sounded but not heard.	nonsif
Was working in cagewash area with it running.	nonsif
Also wearing airhood.	nonsif
BAPP Broken Insulators.	nonsif
While switching at SS on L WO.	nonsif
Brown insulator broke while opening KV CB disc.	nonsif
These types of insulators have been known to be defective years ago.	nonsif
This could have locked out the KV line and I could have been injured.	nonsif
The tech called a supervisor and asked for guidance.	nonsif
The supervisor asked the tech if the orders were in CIMS.	nonsif
The tech said no.	nonsif
Maple Ave in Elmhurst IL that were previously refused by the customer.	nonsif
The tech was dispatched to N Maple Ave to install two Smart Meters.	nonsif
Upon arriving the tech found a bank of four meters.	nonsif
The tech requested to have the remaining orders assigned to him.	nonsif
The BA searched the Clevest database for the orders and could not find them.	nonsif
The tech asked the BA to create found meter orders.	nonsif
of Induction furnaces disassembly operations.	nonsif
There was cement broken in the tagging area.	nonsif
A person could have slipped and leg go under the kick plate.	nonsif
Employees were removing compoent parts from a transformer in the transformer area disassembly operations.	nonsif
Switching Request System SRS Notification.	nonsif
Dept Team Super Mardi Manahar.	nonsif
JOb team leader.	nonsif
Job absentee x yrs working on leader job x week.	nonsif
Correct Plaque Placement During a walk down at TSS West.	nonsif
Overall the yard was clean and organized.	nonsif
PAs spend most of their time at this operation.	nonsif
Good Catch Andegt Cut for safety No face plate.	nonsif
There were no injuries sustained in this incident.	nonsif
My fingers are hurting so bad.	nonsif
Started having pain and swelling in my left thumb after continuously pushing pins.	nonsif
I m experiencing pain now even when I m not working.	nonsif
Material handler then got to his feet and into the vehicle.	nonsif
Supervisor and employee then went to OHS to be evaluated.	nonsif
OHS then advised to be checked by the local PIC clinic.	nonsif
pulling yard materia.	nonsif
The second material handler immediately call his supervisor to report.	nonsif
Supervisor asked the material handler questions regarding his well being and condition.	nonsif
security found unlocked door during night security inspection.	nonsif
At about AM the top poly needed to bechanged.	nonsif
The double sided tape didntstick all the way across the poly roll.	nonsif
It stuck to one of the rolls in the PePac and became stuck.	nonsif
They ended up cutting the poly get it unstuck.	nonsif
They then rethreaded the poly.	nonsif
The surge tank agitator base came loose sheared bolts.	nonsif
This caused the grating around it to become dislodged making unsafe walking surfaces.	nonsif
This is accessible only with a key.	nonsif
I was filing and felt something go into my eye.	nonsif
Good catch CR by TG South engineers.	nonsif
I grabbed a cable to unhook it from the die.	nonsif
Picking a part and banged my elbow on rack while pulling part out.	nonsif
Exact location B B.	nonsif
ICC Complaint on SR Partial power On Wednesday.	nonsif
On April th a Change Meter Only service ticket was issued.	nonsif
traveling to site vehicle operations.	nonsif
While working on the preconditioner and high pressure stand developed right shoulder arm pain.	nonsif
S EE enters medical with c o pain to R Wrist.	nonsif
Because of this nuisance alarm printing the staff had disabled the print function.	nonsif
Lines need to be painted in the MOD area.	nonsif
Employee states that he was lifting a leading bar into the press.	nonsif
Body Part Right SHLDR.	nonsif
Is there an issue with the hot water on the second floor.	nonsif
when he swung his hammer he struck the tip of his left middle finger.	nonsif
The employee asked to be seen by a doctor.	nonsif
Employee was wearing gloves at the time of injury.	nonsif
Went to the Nurse for ice pack.	nonsif
Went up on scaffolding and checked gate and kick plates elevated work operations.	nonsif
FLS failed to have a questioning attitude.	nonsif
FLS order the new fuse.	nonsif
he was operating the preform machines in compression department and developed a rash.	nonsif
Observed employee cleaning up.	nonsif
was moving a hinge detail cart and twisted my wrist.	nonsif
Risk Mitigation Equipment operation rear lot work energized single phz behind fuse.	nonsif
Starter donned kv gloves and guided pole into hole.	nonsif
Crew tamped pole using proper body mechanics and cleaned up the spoils.	nonsif
Support structure for an abandoned reuse water line failed causing approx.	nonsif
foot of PE pipe to fall partially to the ground.	nonsif
IE prior to being racked back into cubicles and put into service.	nonsif
He came downstair taking a external service stairway set on the wall.	nonsif
Employee was assisting the wet chop packout operator doff a box of wet chop.	nonsif
The floors of ALL PEECCs had grit and dirt.	nonsif
The areas were cleaned.	nonsif
The employee was in close proximity to the terminal blocks.	nonsif
AMI Abase Install.	nonsif
Minor injury while miss handling the component.	nonsif
Follow SOP before performing the operation use proper PPEs.	nonsif
EE was catching a drying acid sample out of sample box.	nonsif
When sample bottle overfilled EE tried to back away quickly and tripped and fell.	nonsif
EE said he was not hurt.	nonsif
The electrical panel by door was blocked with a cart and some bin lids.	nonsif
Cart blocking center walk way.	nonsif
During a cleaning task.	nonsif
Fortunately Ee sustained no injury no cuts or bruises.	nonsif
employee was handling material when he received a laceration to his forearm.	nonsif
Roll on machine.	nonsif
Employee was removing a paper holder that was somewhat difficult to remove.	nonsif
He pulled on it and it released and hit him in the forehead.	nonsif
Unpacking components and de canting to WIP carts.	nonsif
States he also must torque down an antenna which is added element to job.	nonsif
file cabinet Walking in FMO office area.	nonsif
Turned corner too sharp and walked into file cabinet.	nonsif
Bumped forehead on top corner of file cabinet.	nonsif
File cabinet drawers were closed.	nonsif
While walking through AP EE struck the lower section of a in.	nonsif
Mondi pipe hanger with his hard hat.	nonsif
EE felt soreness in his neck and reported the incident to his Supervisor.	nonsif
Employee went to get ear plugs from graphite station on PPE locker.	nonsif
He dropped some on the ground and bent over to pick them up.	nonsif
During welding works employees used correct tools and equipment.	nonsif
Positive observation Positive observation.	nonsif
Was throwing material on rack felt Lft.	nonsif
Coming from creel room to winder room feels pulling door may have injured shoulder.	nonsif
Notice s most when lifting Kgs packages to load creel.	nonsif
Line was running R Kraft rolls to autounitizers.	nonsif
Two rolls became jammed up on the conveyors and rolls build up behind them.	nonsif
Propellant escaped can.	nonsif
we could save energy and water through using only one washing procedure instead two.	nonsif
The quality of rolls is very good.	nonsif
See energy tracking for.	nonsif
EE reports pain in right trap area and low mid low back.	nonsif
gave tool box talk on the importance on daily hand tool inspections.	nonsif
ee bruised thumb.	nonsif
EE was lifting a x ray tube out of the box.	nonsif
Need a JSA on repackaging X ray tubes for service.	nonsif
Area supervisor will ensure proper packaging material is provided.	nonsif
When doing this employee felt sharp pain in mid and upper back area.	nonsif
I got a sliver in my finger.	nonsif
I put gloves on to Error Proof stations.	nonsif
I got a sliver when I was loading parts.	nonsif
I put the gloves on to lift steel parts to put in the station.	nonsif
Subject of discussion.	nonsif
Operating forklift WO completing safety check list woodworking.	nonsif
CO right elbow and back pain.	nonsif
Employees carrying bucket many times can result in back injury.	nonsif
Gabriel was working in the granule area and production wad unloading headlap granules.	nonsif
He thinks he rubbed his eye and introduced the dust in to it.	nonsif
Rph compounded MAG kit.	nonsif
office all safety equipment is in place.	nonsif
I got something in my left middle finger.	nonsif
Files removed from on top of cupboard in area.	nonsif
ASSOC FOUND LYING ON GROUND NEAR SULFUR UNLOADING STATION HEAD INJURY.	nonsif
En marchant sur la ligne lemploy a ressenti une douleur dans le pied gauche.	nonsif
While running operations realized the dryer cyclone was plugged.	nonsif
At the plant was shut down to clean the cyclone.	nonsif
EE was working on Building Section A cleaning up stacking K shoring scaffold.	nonsif
EE lifted the shoring scaffold and placed on the shoulder for transport.	nonsif
EE was wearing eye protection during the incident.	nonsif
EE reported the incident to the Job Superintendent at PM.	nonsif
Superintendent flushed EEs eye and could not locate any foreign body.	nonsif
EE went back to work and did not complain of any discomfort.	nonsif
FLS specificity reminded crew leader to close task midday.	nonsif
Moving rollers into position with crane to adjust to Box.	nonsif
Went to move wall out with wheel handle while holding the roller.	nonsif
Did nt feel anything pop or stretch.	nonsif
Noticed sore elbow minutes later.	nonsif
Duplicate Meter Number.	nonsif
A Skokie ET completed CMOs on Friday January th.	nonsif
One was located Greenwood St in Skokie and the other was at N Northwest.	nonsif
Hwy Unit in Park Ridge.	nonsif
the operator had thorn on the hand.	nonsif
Employee was assiting another employee for surveying at consteel.	nonsif
While walking below the consteel employee tripped on tie rod lying on floor.	nonsif
Guide bars at Automat are leaning unsecured when not in use.	nonsif
EWR raised to have emergency lighting installed into maintenance corridor of M range.	nonsif
Assigned ATS to Ergonomic and PPE to followup with employee.	nonsif
yard debris tripping hazard tug crew is installing new pot heads at tss.	nonsif
we contacted nash and more gravel was brought in to make walking area smooth.	nonsif
General Alert to field team review of JSA Training to determine if changes needed.	nonsif
Employee came to the clinic with complaints of left shoulder and upper back pain.	nonsif
Referred to ergo team for further evaluation of workstation Purchase optical trackball and keybooard.	nonsif
I just doing the job.	nonsif
And pushing in two push pins.	nonsif
The nd push pin is broken so it takes extreme force to push in.	nonsif
rack door fell off and hit right foot.	nonsif
Live Dead Live not used and oil sample not taken.	nonsif
He used two punches one for the ID and one for the OD.	nonsif
Gloves were worn at all times.	nonsif
After placing the gasket the crew tightened down the site glass.	nonsif
They then refilled the oil to its proper level.	nonsif
He stated that he was sure his A Mechanic did.	nonsif
The FLS then questioned the A Mechanic who stated that he did not.	nonsif
The crew remediated this with the A Mech and the B Mech.	nonsif
The SSC crew split into two groups.	nonsif
The crew also used good three way communication while working on the breakers.	nonsif
Employee was cleaning in the highbay sweeping up debris and throwing away.	nonsif
Cut my knee of floor mat secure.	nonsif
The job requires me to check the primary and secondary lock function.	nonsif
I have a sharp pain causalgia at the base of my left wrist.	nonsif
I need a wrist rest cushion for wrist support.	nonsif
Doing this same job over and over with out rotation.	nonsif
Employee misjudged step into scrubber and tripped.	nonsif
Desk chair pan flattened out and caused tail bone pain.	nonsif
Replaced the chair and adjused the workstation.	nonsif
Good Catch Highway Debris.	nonsif
To do so he must pass through a narrow passage.	nonsif
Tech s vehicle lights were functional windows clean and seat belt in good condition.	nonsif
When reviewing the monthly vehicle inspection checklist.	nonsif
tech did not sign the form.	nonsif
Tech agreed and signed the form.	nonsif
Good Catch during review of CIMS Billing Adj.	nonsif
Both of these individuals were out of the office at this time.	nonsif
The ComEd CIMS.	nonsif
Both the CIMS Administrator and Director assumed all of the verification steps were completed.	nonsif
The person preparing the file does not perform this review for an independent perspective.	nonsif
This file validation was overlooked during this particular month.	nonsif
Employee was unloading ammo cans from his vehicle.	nonsif
EE has been consulted on the importance of reporting any and all events immediately.	nonsif
They noticed the redness on Saturday.	nonsif
Contusion to Rt Baby finger.	nonsif
Job title Security Guard x yrs.	nonsif
Was on second floor at about D at vending machine in satellite canteen.	nonsif
Cutting grass On network high rise group had an ermergent job at CTLX.	nonsif
While the crew was working on replacement of the line bay switch gear.	nonsif
The customers lawn service crew started to cut or maintenance the grass.	nonsif
And showed him the cables on the grass and transformer area.	nonsif
Worker did see the crew working or generator stage there.	nonsif
Rockford Reader found Open fitting.	nonsif
EE carried buckets without using any gloves material handling.	nonsif
LC stairwell door ajar second occurence.	nonsif
The south stairwell door in LC was left ajar by the previous user.	nonsif
Scaffold was installed without intsalling handrails causing a fall hazard closed.	nonsif
onset of Rt forearm pain today approx.	nonsif
She tripped a little but was able to recover without falling or getting hurt.	nonsif
Area de empilhamento de rotor ha excesso de pinos de rotor no local.	nonsif
Bonadio Retirar da area os pinos obsoletos e devolver ao almoxarifado.	nonsif
A cover plate in the hallway extending to Pharmacy labortory came loose.	nonsif
frequent outages AB.	nonsif
I was bending over in the coffin lifting the parts out.	nonsif
the parts are kind of heavy.	nonsif
I put one part in location then I put a second one.	nonsif
I felt my lower back tighten up.	nonsif
Employee had Facial protection goggles gowning and gloves.	nonsif
Negligible damage to both pieces of equipment.	nonsif
Walk around avoided glass.	nonsif
I got in my car and exited the parking area per plan.	nonsif
I exited the car and walked to the work area.	nonsif
Before going to the drivers door.	nonsif
The pothole was filled with broken glass.	nonsif
Crew Permit Times.	nonsif
To service and inspect deluge system in pumphouse.	nonsif
Tape Residue Found on Meter.	nonsif
Black Ice Condition in substation On Crews Job site reporting to TSS.	nonsif
The walking and driving surface were getting worst as the day progress.	nonsif
This was a good questioning attitude on risk assessment at the job site.	nonsif
PMP needs lights on take up.	nonsif
Edge of box Employee was lowering a box to the floor.	nonsif
A plan was devised and clearance orders were created to perform the work.	nonsif
The Station SDSD reviewed these routines and identified an issue.	nonsif
These stops included the Field Museum and Shedd Aquarium.	nonsif
These SDSD stopped to investigate.	nonsif
Portable ladder had a rag wrapped around one of the feet.	nonsif
The exhaust is piped through the celing of building.	nonsif
The standing oil could have been caused someone to slip.	nonsif
Work related lost work day case.	nonsif
See injury illness report for details.	nonsif
pliers employee was using pliers to loosen a bolt in a box.	nonsif
Employee was hand doffing positions because position was being worked on.	nonsif
Employee had only been hand doffing for min.	nonsif
Relates to bending pushing and pulling carts full of parts.	nonsif
Structure Identified on WO to be C Trussed was Incorrect.	nonsif
TR had obvious damage and STR did not have any damage.	nonsif
STR had the rejection tag on from the Osmose inspection.	nonsif
Expired diphen tablet.	nonsif
THERE IS NO WAY TO STOP BUILD UP OF MATT.	nonsif
WITHOUT TAKING THE TIME TO STEAM CLEAN FLOOR EVEY NOW AND THEN.	nonsif
determine location of concern and a plan of action.	nonsif
S EE enters medical with c o pain to R Elbow.	nonsif
EE states Every time I go to bolt down the wipers.	nonsif
Amped I and ComEd LRE PM completed a job brief including safety assessment.	nonsif
PPE was peer checked by team members.	nonsif
Vault conditions were assessed and discussed prior to entry.	nonsif
Flash lights were assigned due to limited working light bulbs.	nonsif
Associate bending and squatting down when felt and heard a pop from right knee.	nonsif
liftgate install one month.	nonsif
Mechanic was wearing all of his PPE when the sand blew in his eye.	nonsif
Operator was keeping the tools and hard mask in the ground housekeeping.	nonsif
Outside vendors are making deliveries wearing sandals.	nonsif
The vendor is inside the building during delivery.	nonsif
The screw of the fire extinguisher holder at front entrance came off the wall.	nonsif
Employee was unloading rolls of wool from the finished goods conveyor aprx lbs.	nonsif
Employee was taken to medical for first aid and released back to work.	nonsif
Some coworkers helped him into a work truck to cool down.	nonsif
Employee returned to work.	nonsif
Barricade was removed.	nonsif
Employee was pulling coating equipment to top of scaffold with rope and valve failed.	nonsif
While moving systems a Shred it bin fell.	nonsif
EE kept a heating pad on it all weekend.	nonsif
Post information on proper lifting for employees to read.	nonsif
DI trailer in alarm due to high mixbed effulent conductivity.	nonsif
This table is how SCADA and OMS associate the common points between them.	nonsif
Mold observed on several ceiling tiles in the work area of Government Nets.	nonsif
MALAYSIA Ask Campus Eng.	nonsif
To send the driver for safety induction.	nonsif
Ask Campus Eng.	nonsif
He blew the locamotive horm and proceeded.	nonsif
Now rolls the amp wires from front to back.	nonsif
Pushing in clips is also aggravating condition.	nonsif
drums with steamate na packaging.	nonsif
While purging oil the syringe broke glass pieces cut his finger Investigation rootcause.	nonsif
This makes operator to force it causing the syringe to break.	nonsif
Next possibility of to change the syringe on a daily basis.	nonsif
S EE enters medical with c o pain to Right Wrist Hand Finger.	nonsif
STA Powerton ATS Damage Issue STA Powerton generator trouble alarm.	nonsif
sending degree water raining down on the area below.	nonsif
While onsite the construction manager highlighted the following deficiencies.	nonsif
Improper Location of Job Brief.	nonsif
Lack of Crew Knowledge Awareness.	nonsif
The construction manager observed crews working at separate manhole locations approximately feet apart.	nonsif
This equipment was removed by the entrant moments before exiting the manhole.	nonsif
The ComEd auditor addressed with the crew supervisor.	nonsif
He forgot to lock the door when he departed the cab of the truck.	nonsif
Warehousing operation in Singapore vehicle operations.	nonsif
Found air hose ran across deck TEXAS Pulled it up ran over head.	nonsif
Pulled it up ran over head.	nonsif
This created a safety hazard to passersby and the equipment needed repairs.	nonsif
Employee was working on the TTSS.	nonsif
Employee locked out the TTSS to do the repairs.	nonsif
After removing the lock the TTSS became stuck in the down position.	nonsif
The employee applied hot water to attempt to free the TTSS.	nonsif
Pick boxes of lock kits from high and low areas hundreds per ticker.	nonsif
Pick a book of lock kits for L.	nonsif
Every Book Ticket at boxes per ticket.	nonsif
Some locations up some down and under.	nonsif
