Documents	Fatality_Category	Fatcat_Index
Worker was working at the base of an oil rig when a valve separated from piping fell and hit the worker.	falling or propelled object	2869
Worker was waiting in line to be loaded out at a mill. He had exited his truck to check on something on the trailer in front of him. While doing so the truck pull forward. The trailer tires hit and traveled over the worker.	powered vehicle	287
Worker was working in a bucket truck 20 feet high replacing old power lines to new lines and collapsed in the truck.	various	2870
A building under demolition collapsed injure two workers.	falling or propelled object	2872
Worker was cutting concrete from a mobile scaffold when a roof collapsed and debris hit the workers head.	fall from height	2873
Worker was trapped under a log.	falling or propelled object	2874
Worker injured from burns when a tank that once contained gasoline explodes.	fire/explosion	2875
Worker was hit by a panel van truck against the wall of the building.	falling or propelled object	2876
Worker was hit by a piston that was ejected from a machine.	crushed by machinery/moving objects	2877
Worker who suffered seizures resulting from head and spinal injuries after a 2007 fall injured from the seizures.	fall from height	2878
Worker performing inventory of steel coils was injure after being hit between a 21000 pound steel roll and a forklifts counterweight.	falling or propelled object	2879
The worker was run over by a trailer while harvesting onions.	crushed by machinery/moving objects	288
Worker injure after shirt was caught in a roller conveyor.	crushed by machinery/moving objects	2880
Hydraulic system blew back hit worker on the head.	crushed by machinery/moving objects	2881
Worker was injure when a building under construction collapsed.	crushed by machinery/moving objects	2882
Worker injured from a head injury while cutting fallen trees and tree limbs.	falling or propelled object	2883
Worker demolishing a single story structure was injure when the structure collapsed.	falling or propelled object	2884
Worker installing a steel girt to a prefabricated building injured from a 40foot fall onto a concrete surface.	fall from height	2885
Worker demolishing a storage area was hit between a fallen ceiling and the wall.	falling or propelled object	2886
Worker walking down cuttreelogs fell between the logs and was hit as the logs rolled together.	crushed by machinery/moving objects	2887
Worker was hit by the arm of a skid steer.	powered vehicle	2888
Worker checking the rear brakes on his truck injured after the truck ran over him.	powered vehicle	2889
Worker was using a handheld grinder on floor bolts when sparks ignited flammable vapors in the area.	fire/explosion	289
Worker trying to reenter moving tractor trailer was caught between truck and trailer.	crushed by machinery/moving objects	2890
Worker injured after falling off of a roof.	fall from height	2891
Worker picking up trash on building roof injured after falling more than 20 feet and hitting a trash dumpster.	fire/explosion	2892
Worker was injure in a boiler explosion on an oil drilling rig.	falling or propelled object	2893
Worker offloading steel coil was hit between truck bed and coil.	falling or propelled object	2894
Worker was hit between two railcars.	crushed by machinery/moving objects	2895
Worker pushing a welding cart injured from injuries after slipping and falling backwards.	powered vehicle	2897
Worker was hit and injure by a log skidder as it rolled down a hill.	powered vehicle	2898
Worker preparing to refill a sand blast pot was injure when the pressurized vessel exploded after he lifted the lid.	fire/explosion	2899
Worker was caught between the bucket of a backhoe and a wooden deck attached to a building.	crushed by machinery/moving objects	29
Worker fell 30feet from a roof to the ground.	fall from height	290
Worker was hit and injure by a backhoe blade during electrical installation operations.	powered vehicle	2900
Worker repairing a hydrotester in a pipe manufacturing facility was injure after being hit on the head by a pipe on a conveyor belt.	falling or propelled object	2901
Worker injured while cleaning a boat at the harbor.	various	2902
Worker unloading an A leg of a derrick injured after he was hit and hit under several falling A legs.	crushed by machinery/moving objects	2903
Worker sustained a head injury after tripping on a curb while performing traffic control. Worker succumbed to this injury 1/29/2012.	powered vehicle	2904
Worker injured after falling 16 feet through a skylight to a concrete floor.	fall from height	2905
Worker injured when he is pulled into a conveyor after his scarf gets caught in the machine.	crushed by machinery/moving objects	2906
Worker was injure after the vehicle blocking a work zone was hit by an intermodal container.	falling or propelled object	2907
Worker was hit and injure by an airplane propeller while trying to start engine.	falling or propelled object	2908
Worker demolishing a metal container for scrap was injure when the panel hit his head.	crushed by machinery/moving objects	2909
Worker was marking a roadway for striping operations and was hit by an automobile.	powered vehicle	291
Worker using ladder to apply texture to drywall injured after falling 10 feet and landing on his head.	fall from height	2911
Worker on a trash collection route was run over and injure by the trash truck.	powered vehicle	2912
Worker injured after falling 14 feet during rig teardown operations.	fall from height	2913
Worker washing concrete floor injured after falling 12 feet over guard railing.	fall from height	2915
Worker injured when he fell from roof.	fall from height	2916
Worker was hit when a portion of an ecology wall fell.	falling or propelled object	2917
Worker hit in the leg by a pipe injured after falling and hitting his head.	falling or propelled object	2918
Worker installing telecommunication cables near a main road was hit and injure by a moving vehicle.	powered vehicle	2919
Worker was installing trimming and fell hitting his head against the kitchen island.	falls, often at ground level	292
Worker was run over and injure by a frontend loader.	powered vehicle	2921
Worker was hit by a 1500pound roll of paper when it slipped out of a forklift clamp.	crushed by forklift or similar	2922
Worker was hit and injure by a vehicle while carrying equipment across highway.	powered vehicle	2923
Worker treating a horse inside a hyperbaric oxygen therapy chamber was injure when an explosion occurred inside the chamber.	fire/explosion	2924
Worker operating a skid steer was injure when a fallen tree hit him against the seat bar.	crushed by machinery/moving objects	2925
Worker caught between a truck and a loading dock injured from injuries.	powered vehicle	2926
Worker who was overcome by vapors while refinishing a bathtub injured from asphyxiation.	chemical exposure	2927
Worker injured from a head injury after falling off a ladder.	fall from height	2928
Worker was hit by machine and caught in driveshaft of hammermill used to dig frost.	crushed by machinery/moving objects	2929
Worker was doing construction operations and was hit by a road grader.	powered vehicle	293
Worker was hit and injure by a skid steer bucket.	crushed by machinery/moving objects	2930
Worker was hit by a bobcat that flipped during a wind gust.	crushed by machinery/moving objects	2931
Worker was caught between a forklift and a coil of steel.	crushed by forklift or similar	2932
Worker fell to the floor.	falls, often at ground level	2934
Worker performing prefracking operations was hit and injure when a pipe exploded under pressure.	falling or propelled object	2935
Worker injured from head injuries after falling 15 feet while doing construction work.	fall from height	2936
Worker was hit between two vertically moving conveyor belts.	crushed by machinery/moving objects	2937
Worker was hit when a load on a forklift fell.	crushed by forklift or similar	2938
Worker emptying waste water sludge into a tanker truck injured from exposure to toxic gas.	chemical exposure	2939
During the interface between an asphalt paving machine and the asphalt truck the rear tire of the truck exploded. The worker was hit be the exploding tire debris and release of pressure.	powered vehicle	294
Worker using knife to cut wire cut his finger. He fainted and later injured from head injuries after falling to concrete floor.	falls, often at ground level	2940
Worker injured when caught between a tractor and a trailer while hooking them together.	powered vehicle	2942
Worker replacing lightning arresters on electrical lines was shocked after touching an energized line.	electrical hazard	2943
Worker injured after falling out of a golf cart.	powered vehicle	2944
Worker was hit and injure by a vehicle exiting the car wash.	powered vehicle	2945
Worker performing residential construction injured when he fell off the roof landing on the lower deck.	falling or propelled object	2946
Worker was working adjacent to an embankment when it collapsed.	falling or propelled object	2947
Worker was replacing a hydraulic cylinder which raised the hopper of a street sweeping vehicle. The injured had raised the hopper and was working within the framework when the hopper dropped hit the worker between the hopper and the framework.	crushed by machinery/moving objects	295
Worker operating a jib crane was injure when the steel column supporting the crane fell off its support base causing the column and crane to collapse on him.	falling or propelled object	2950
Worker was injure when a hydraulic lift fell on him.	crushed by machinery/moving objects	2951
Worker injured from falling debris while working in a trench.	falling or propelled object	2952
Worker wearing a horizontal lifeline that was connected to an aircraft hangar under construction was injure when the building collapsed.	crushed by machinery/moving objects	2953
Worker trying to remove the oil filter from underneath a forklift was injure when the jack used to elevate the forklift fell on him.	crushed by forklift or similar	2954
Worker inside of a scissor lift injured when trusses hit the lift tipping it over.	fall from height	2955
Worker was asphyxiated when an unshored wall collapsed while he was cutting rebar inside of a basin.	falling or propelled object	2957
Worker standing on a scaffold platform was injure when a forklift hit the platform which then hit a building under construction. The worker fell and the building collapsed on him.	fall from height	2958
Worker helping to cut down trees was hit and injure by a 55foot tree being cut by another worker.	falling or propelled object	2959
Worker was hit /hit by walls and roof of a building after a dump truck fell onto the building.	fall from height	296
Worker injured from abdominal wounds when a part from a metalcutting machine hit him.	crushed by machinery/moving objects	2960
Worker injured after being hit under the front tire while attempting to stop an unattended moving tractor.	crushed by machinery/moving objects	2961
Four workers were hospitalized when a flash fire occurred while they cut bolts off an abandoned pipeline.	fire/explosion	2962
Worker injured from injuries when a rail car cover hit his head and hit his chest.	powered vehicle	2963
Worker putting steel Ibeams on blocks was injure when a beam hit his head and chest.	falling or propelled object	2964
Worker surveying a wheat field was hit and injure by a train as he crossed a railroad track.	powered vehicle	2965
Worker was hit and injure by a vehicle while operating a water valve.	powered vehicle	2966
Worker performing machine maintenance was hit between a conveyor belt and machine frame after an unexpected startup.	crushed by machinery/moving objects	2967
Worker operating a bobcat at a recreational resort injured when a tree limb pierced a main vein/artery.	various	2968
Worker was hit by grainbin jack.	crushed by machinery/moving objects	2969
Worker was working in the attic space of a residential home securing a ventilation line and fell through the attic floor.	fall from height	297
Worker performing piping work injured from injuries sustained when his life line broke causing him to fall 75 feet.	fall from height	2971
Worker operating a metal wiring machine was injure when he reached into the machine and was pulled in.	crushed by machinery/moving objects	2972
Worker installing a new compressed air pipe was injure when the pipe exploded and hit his head.	falling or propelled object	2973
Worker repairing an offroad tire was injure when the multipiece rim exploded and hit him.	falling or propelled object	2974
Worker using an aerial lift to paint air ducts injured after falling nearly 30 feet from a catwalk.	crane/boom or similar	2975
Worker installing duct work in building under construction injured after falling 60 feet.	fall from height	2977
Worker using a portable ladder to hook a hose to a fuel tank truck injured after falling 10 feet off the ladder to pavement.	fall from height	2978
Worker injured after falling while trimming trees.	fall from height	2979
Worker was holding the lid of a derrick truck while the derrick was being raised. The derrick contacted overhead power transmission lines and the worker was shocked .	electrical hazard	298
Worker in a tool manufacturing facility broke his neck when he was pulled into a machine used to rotate and shape metals.	crushed by machinery/moving objects	2980
Worker performing duties inside a highway construction zone was hit and injure by a passenger vehicle.	powered vehicle	2981
Worker at an oil rig was injure when a 300pound clamp that he tried to attach to a well drilling machine fell on him.	falling or propelled object	2982
One worker was injure two were burned when a gas pipe they were working on exploded.	fire/explosion	2983
Worker using an extended saw to cut down tree palms was shocked when the palm swayed and touched a power line.	electrical hazard	2984
One worker was injure two injured when a stack of 1400pound metal casting molds fell on top of them while they were on break inside an aluminum and metals facility.	crushed by machinery/moving objects	2985
Worker inside a roadway work zone was hit and injure by a vehicle.	powered vehicle	2986
Worker using a forklift to move machinery injured after becoming hit between the forklift and the pallet rack.	crushed by forklift or similar	2988
Worker was operating an excavator and was hit after the wall collapsed on the excavator.	crushed by machinery/moving objects	299
Worker making repairs around a sky light at a residential facility injured after falling 22 feet through the skylight.	fall from height	2990
Worker was hit and injure by a delivery truck while crossing the road to get to the company warehouse.	powered vehicle	2991
Worker replacing a device that limits the amount of current in an electrical circuit was shocked after touching a live electrical component.	electrical hazard	2992
Worker on a highway construction site injured after falling 40 feet from an aerial boom that broke from the aerial lift truck.	crane/boom or similar	2993
Worker repairing an adjustable lift platform inside a meat packing facility was hit when the chain holding the platform broke.	falling or propelled object	2994
Worker at a tool manufacturing facility was injure when a piece from a pneumatic grinder he was welding hit his head.	falling or propelled object	2995
Worker was smelled after standing on a pile of beans at a bean plant.	falling or propelled object	2996
Worker at a frozen food manufacturing facility injured after performing waste water treatment operations.	various	2997
Worker was hit and injure by a large alfalfa bale.	falling or propelled object	2998
Worker installing an advertising billboard injured after falling 30 feet.	fall from height	2999
Victim was conducting roofing work and fell through a hole in the roof 25 feet to the concrete floor below.	fall from height	3
Worker was working in the kitchen near the back sink. She slipped and fell in a wet spot hit her head on the floor.	crushed by machinery/moving objects	30
Worker was in the process of moving a scissor lift using a lull to move it from floor to floor. Worker entered the scissor lift to drive it off the forks a portion of the concrete plank landed on the worker who was in the scissor lift.	fall from height	300
Worker at a container minor injured after being caught between two cargo containers.	crushed by machinery/moving objects	3000
Worker was thrown from a truck and injure when equipment the truck was carrying caused the truck to crash.	powered vehicle	3001
Worker performing roofing activities was shocked while moving a ladder that touched an overhead power line.	electrical hazard	3002
Worker performing maintenance at a pipe fitting manufacturer was injure when a 396pound plastic pipe fell on him.	falling or propelled object	3003
Worker performing logging operations injured from head injuries after being hit by a tree.	falling or propelled object	3004
Worker on trash collection route was hit by unattended trash truck after exiting the truck to stop a dumpster from rolling down the street.	crushed by forklift or similar	3005
Worker repairing a secondfloor window injured after falling 11 feet to the concrete slab.	fall from height	3006
Worker trimming trees from inside a trucks elevated bucket was injure when the bucket fell hit him between it and the trucks cab.	crushed by machinery/moving objects	3008
Worker at a packaging manufacturer was hit and injure by a forklift.	crushed by forklift or similar	3009
Worker was working on a light fixture from a ladder 15feet above the ground and fell possible shock.	fall from height	301
Worker trimming an oak tree was injure when another uprooted tree fell on him.	falling or propelled object	3010
Worker for a plumbing and heating company who was unbolting equipment attached to a hoist was injure when the hoist frame collapsed hit the worker between the framing.	falling or propelled object	3011
Worker at a packing and crating facility who was cleaning a machine used to make rolls of plastic was injure after being pulled into the machine.	crushed by machinery/moving objects	3012
Worker tightening bolts on a steam drum injured from blunt force trauma and burns when increased pressure caused drum to explode.	falling or propelled object	3013
Worker performing logging operations was hit and injure by a tree.	falling or propelled object	3014
Worker installing a sensor on the highway was hit and injure by a semitruck.	powered vehicle	3016
Worker delivering loads of fiberglass was injure when a 420pound load hit him on the head and landed on his chest.	falling or propelled object	3017
Worker was hit on the head and injure by a falling tree limb that was cut by another worker.	falling or propelled object	3018
Worker injured from an apparent drowning after falling from a barge into the water.	various	3019
Worker was sruck by an object that fell from a shelving rack.	falling or propelled object	302
Worker at a stone products manufacturer who was attempting to enter his work vehicle injured when he was hit against a brick wall after the truck rolled.	falling or propelled object	3020
Worker for a management facility who was operating a car lift injured when the carriage came out of the track and flipped over ejecting the worker down a 20 foot shaft.	powered vehicle	3021
A ski instructor at a ski resort injured after becoming stuck in a wall opening.	various	3022
Worker injured after falling eight feet while installing ceiling tiles from a ladder.	fall from height	3023
Worker refueling the company truck slipped and fell to the ground sustaining rib fractures. He later injured from health complications.	powered vehicle	3025
Worker at a retail store setting up a bag holder injured when a metal piece from the holder hit him in the head.	falling or propelled object	3026
Worker installing piping and sheet metal to the HVAC system of a restaurant injured after falling 40 feet through the buildings shaft.	fall from height	3027
Worker trimming trees was shocked after touching a live conductor.	electrical hazard	3028
Worker for a trash and junk disposal company was injure when part of a twostory building collapsed.	crushed by machinery/moving objects	3029
The worker was pulling cables or cutting cables and hit a 13000 line and was shocked .	electrical hazard	303
Worker using a vacuum truck to remove water from a hole injured after a pipe came loose and hit his head.	falling or propelled object	3030
Worker was hit between the hydraulic ram and bullister of a press during maintenance operations.	crushed by machinery/moving objects	3031
Worker driving a cart on a golf course injured when the cart landed in a lake hit him underwater.	powered vehicle	3032
Worker replacing the lining of a furnace was hit between the cleaning equipment and wall. Equipment had not been locked out.	falling or propelled object	3034
Worker was performing maintenance on a paper mill machine was injure when his head became trapped between the oscillating shower head feed pipe and a stationary water return duct.	falling or propelled object	3035
Worker for a plumbing supplies company who was loading materials on a flatbed truck injured when he fell 4 feet off the truck and was then hit by a 420pound pipe.	falling or propelled object	3036
Worker trimming trees was shocked when his aluminum saw touched a transmission line.	electrical hazard	3037
Worker at a concrete manufacturing facility was hit between a precast concrete slab and excavator.	powered vehicle	3038
Employee was working in an aerial lift over a river when a steel pile fell and hit the boom of the lift. The worker still in the basket fell into the river and injured .	crane/boom or similar	3039
Worker replacing utility poles was shocked .	electrical hazard	3040
Worker at a ranch museum who was driving a tractor injured after it overturned hit the worker to the ground.	powered vehicle	3041
Worker cutting a metal platform at a scrap yard injured when a partially cut metal piece fell on him.	crushed by machinery/moving objects	3042
Worker performing electrical prep work from a ladder injured after falling and hitting his head on concrete floor.	fall from height	3043
Worker inspecting the removal of compacted soil from inside a fertilizer mixer injured when he became smelled in raw material after the mixer was turned on.	crushed by machinery/moving objects	3044
Worker was hit and injure by a fork truck while walking to a break area.	powered vehicle	3045
Worker was hit and injure by a forklift while walking through a bay door.	crushed by forklift or similar	3046
Worker making sewer maintenance repairs stepped into a hole injuring his ankle and back. The worker later injured from complications during surgery.	falls, often at ground level	3047
Worker was hit and injure by a forklift at a marine minor .	crushed by forklift or similar	3048
Worker operating a powered industrial truck injured when the raised fork from another truck hit his leg cutting a main artery.	powered vehicle	3049
Worker was dismantling a 40foot high scaffold and fell.	fall from height	305
Worker performing residential construction injured after falling 14 feet from a ladder.	fall from height	3051
Worker making repairs underneath a trailer was injure when the trailer fell on him.	crushed by machinery/moving objects	3052
Worker was injure at a construction site when a crane fell on him.	crane/boom or similar	3053
Worker repairing a HVAC unit on a warehouse roof injured after falling 39 feet through a skylight.	fall from height	3054
Worker setting up a metal ladder alongside a billboard was shocked when the ladder touched a power line.	electrical hazard	3055
Worker servicing an electrical pump was hit and injure by lightning.	electrical hazard	3056
Worker using a forklift to load grain carts onto a semitrailer was injure after becoming stuck between the forklifts frame and cage.	crushed by forklift or similar	3057
Worker riding on the sidestep of a garbage truck injured after becoming hit between the truck and a protruding pipe.	powered vehicle	3058
Two workers installing an irrigation line from a pond to orchard fields were shocked when the metal piping contacted an overhead power line. One worker injured the second was hospitalized.	electrical hazard	3059
Worker was unloading bulls from a truck into the chute. One bull kicked the gate knocking the worker over hitting his head on the concrete. There was traumatic head injury with brain swelling.	powered vehicle	306
Worker connecting pipes at a gas well site was hit between a beam and pipe.	falling or propelled object	3060
Worker raised a diamond saw table unit above his head to disassemble it from underneath and was hit when the table top fell on him.	falling or propelled object	3061
Worker was hit in a rollover accident involving a tractor.	powered vehicle	3062
Worker unloading pipes from a flatbed truck was injure when the pipes came loose and hit worker causing him to fall to the ground.	falling or propelled object	3063
Worker painting a warehouse building roof injured after falling 35 feet through a skylight.	fall from height	3064
Worker making repairs to a boat injured after falling 12 feet from the boats deck.	various	3065
Worker was found laying semiconscious three feet from a ladder. He later injured at the hospital.	various	3066
Worker painting a roof injured after falling 25 feet through a skylight.	fall from height	3067
Worker was performing tree trimming and was hit by a falling tree.	falling or propelled object	3068
Worker at a seafood plant was injure when he was caught in a conveyor used to move liquids and grain materials.	falling or propelled object	3069
Worker was unloading a vessel and was hit by a loose spinning cargo sling chain.	falling or propelled object	307
Worker was performing steel erection activities and was hit by a steel beam.	falling or propelled object	3070
Worker on the back of a small vehicle used for hauling trash injured from injuries after he was thrown from the vehicle when it made a turn.	powered vehicle	3071
Worker installing an axle underneath a tractor was injure when the axle fell on his head.	falling or propelled object	3072
Worker for an environmental hazards solutions company injured after falling 10 stories from a selflifting scaffold.	fall from height	3073
Worker sustained a mild head injury after falling down stairs.	fall from height	3074
Worker was hit and injure by a train while driving a vacuum truck across railroad tracks.	powered vehicle	3075
Worker inside a swimming pool pit preparing to fill it with concrete was injure when the cement truck tipped over and fell on him.	various	3076
Worker attempting to restrain a patient collapsed and injured from apparent natural causes.	various	3077
Worker loading aluminum into a shredder was injure after being pulled into the machine.	crushed by machinery/moving objects	3078
Worker at a food processing facility was injure when an elevated docking board used to fill the gap between a trailer and loading dock fell and hit his head.	crushed by machinery/moving objects	3079
Worker was crossing a street to get to a work zone and was hit by a motor vehicle.	powered vehicle	308
Worker using a concrete sprayer during tunnel repairs was hit and injure by falling concrete.	powered vehicle	3080
Worker installing heat control cabling injured after falling off a ladder and hitting his head on the concrete floor.	fall from height	3081
Worker suffered mild head injuries after falling down 20 steps.	fall from height	3084
Worker at a glass container warehouse was hit and injure by a forklift while stacking products.	falling or propelled object	3085
Worker performing rig operations offshore injured after he was caught between a pipe elevator support and a generator room wall.	falling or propelled object	3086
Worker in a warehouse shipping and receiving area was hit and injure by a vehicle.	powered vehicle	3087
Worker was hit and injure by a public works vehicle.	powered vehicle	3088
Worker performing maintenance on a tow truck was injure when he was hit and dragged by the moving truck.	powered vehicle	3089
Worker was operating a skidsteer cleaning out a dairy cattle barn near an outdoor manure slurry pit. The skidsteer and the worker fell off the end of the pushoff platform into the manure slurry pit trapping the worker in the vehicle. Worker injured of suffocation due to inhalation of manure.	chemical exposure	309
Worker loading a large empty sila plastic bag into a mechanical device injured when his body became caught in the bagging mechanism.	crushed by machinery/moving objects	3090
Worker on top of a lift gate while repairing a trucks hydraulic pump was injure when the pump turned on and the gate lifted hit the worker between the gate and the truck.	crushed by machinery/moving objects	3091
Worker injured after falling while walking down a set of stairs.	fall from height	3092
Worker patrolling a residential community pond while inside a kayak was attacked by swans causing him to fall in the water and injured .	various	3093
Worker performing new construction was hit and injure by a collapsing steel structure.	falling or propelled object	3094
Worker building a barrier wall was hit when an excavator backed up hit the victim between the machine and a wall.	falling or propelled object	3095
Worker was hit and injure by a vehicle while performing maintenance in a storm drain.	powered vehicle	3096
Worker was injure after his leg became caught in coiled rope that was being pulled onto a post by a spooling machine.	crushed by machinery/moving objects	3097
Worker using a bobcat and boom lift to remove an aluminum tube that was stuck inside a liner roll injured from head injuries when he became hit between bobcat and its frame.	falling or propelled object	3098
Worker refueling his truck was injure when the truck moved forward and rolled over him.	powered vehicle	3099
Worker was in an aerial lift pressure washing a building and was shocked after the lift contacted an overhead powerline.	electrical hazard	31
Worker was hit and injure while trying to stop his truck from rolling downhill.	powered vehicle	3100
Worker connecting a boom to a crane was injure after the cranes arm fell on him.	falling or propelled object	3101
Worker repairing a residential roof injured after falling 13 feet onto a concrete driveway.	falling or propelled object	3102
Forklift operator was hit between the lifts mast and truck while attempting to release a dump bucket attached to the forks.	crushed by forklift or similar	3103
Worker cutting down trees was hit and injure by a falling tree.	falling or propelled object	3105
Worker repairing an uprooted sidewalk at a construction site was hit after a concrete slab hanging from a bobcat fell on him.	crushed by machinery/moving objects	3106
Worker at a fiberglass manufacturing facility injured after suffering a seizure.	various	3107
Worker repaving part of a highway was injure after being run over by a dump truck.	powered vehicle	3108
Worker was run over and injure by a powered industrial truck.	powered vehicle	3109
The worker was driving to Duckwater. The left front tire on the concrete blew out which caused the truck to flip injure the worker.	falling or propelled object	311
Driver on top of transport trailer while monitoring levels of liquid fertilizer injured after falling to the concrete after suffering a stroke.	various	3110
Worker performing electrical services was shocked .	electrical hazard	3111
Worker collecting garbage injured after he was run over by the trash truck.	powered vehicle	3112
Landscape worker using a tractor with attached chain to remove a tree stump injured when the chain failed causing the tractor to roll into a pond trapping him underwater.	various	3113
Worker was injure when part of a trench wall fell on him.	falling or propelled object	3114
Steel worker using a machine to bend an elevated steel beam was injure when the 1600pound beam fell on him.	falling or propelled object	3115
Lab worker injured from complications related to exposure to infectious bacteria.	chemical exposure	3116
Worker injured after falling five feet from a ladder while installing metal cable above a drop ceiling.	fall from height	3117
A worker at a construction site was injure after a catering truck hit him.	powered vehicle	3118
Bridge worker installing rebar was injure after falling 18 feet.	fall from height	3119
The worker was trapped in a large auger attached to a grain silo.	falling or propelled object	312
Worker for a public works department suffered head trauma after falling from a truck.	powered vehicle	3120
Construction worker was hit and injure by lightning while pouring a concrete slab.	various	3121
Worker was run over and injure by a forklift used to deliver materials at a construction site.	crushed by forklift or similar	3122
Worker power washing a metal roof injured after stepping on a fiberglass skylight and falling 35 feet.	fall from height	3123
Worker repairing a roof injured when he fell 22 feet through a fiberglass skylight onto concrete.	fall from height	3124
Worker pressure washing near a wall was injure when the wall collapsed.	falling or propelled object	3125
Worker for a drilling company injured when he fell from a derrick platform to the rig floor.	fall from height	3126
Drilling worker was injure when a hydraulic line used to lift machinery broke hit him underneath the equipment.	crushed by machinery/moving objects	3127
Worker lifting guardrails up to a third floor balcony injured when the guardrail he leaned against collapsed causing him to fall 21 feet to the concrete.	fall from height	3128
Worker using scaffold to spray foam insulation on a wall injured after his ladder slipped causing him to fall.	fall from height	3129
The worker was performing maintenance on a power line when he was shocked .	electrical hazard	313
Worker installing hydraulics at a silo chute injured from a 20foot fall when the chute moved to a vertical position.	fall from height	3130
Worker performing electrical work injured from head injuries when he fell 20 feet from a ladder.	fall from height	3131
Worker injured after falling 13 feet from a ladder while working on a second story window at a private residence.	fall from height	3133
Worker at a truck minor injured after being hit by a tractor used to move containers.	powered vehicle	3134
Worker operating machines that produce asphalt was injure after being wedged between moving conveyor belts.	crushed by machinery/moving objects	3135
Marine contract worker unhooking a pressure vessel from a crane line was injure when the vessel tipped over and fell on him.	falling or propelled object	3136
Worker at a tool company helping to move iron pipes was hit when one of the pipes rolled over him.	falling or propelled object	3137
Worker performing demolition work was injure after a wall collapsed.	falling or propelled object	3138
Worker was operating an aerial lift and became wedged between the lift basket and beam.	crane/boom or similar	3139
A forklift mast fell on the worker.	crushed by forklift or similar	314
Worker at a construction site was injure after he was hit on the head by a steel pipe that broke from a piece of scrap metal.	falling or propelled object	3140
Worker performing landscaping services was shocked after touching electrical lines.	electrical hazard	3141
Worker injured from burns suffered after a blasting machine caught fire.	fire/explosion	3142
Worker was operating a standup lift truck when the top of the mast hit an iron beam over the doorway. The force of the impact caused the worker to be thrown from the truck and the beam to become dislodged and hit the worker on the head.	powered vehicle	3144
Worker on a roof taking measurements of the HVAC units injured after falling 21 feet.	fall from height	3145
Worker assembling a crawler crane at a construction site was injure when his head was hit between the cranes uncarriage and support pads.	falling or propelled object	3146
Warehouse worker operating a forklift injured when the metal plate that bridges the gap between the loading dock and truck gave way causing him to fall 6 feet off the dock.	powered vehicle	3147
Worker stepped into an auger pit and became caught in the auger.	crushed by machinery/moving objects	3148
Worker conducting steel erection activities was mild wounded.	various	3149
The worker completed jack hammering a small section of concrete when a vehicle on the freeway went through the work site barricades hit the worker dragging him before hit a concrete barrier. The driver fled the scene injure the worker.	powered vehicle	315
Worker laying down sealant on a roof injured after falling 40 feet to the cement ground.	fall from height	3150
Worker had just set chokers in a unit of tree length on steep terrain. When the lines came tight the log swung forward and hit the victim in the chest and head.	falling or propelled object	3151
Worker was shocked when the boom of the roofing supply truck contacted power lines hidden within tree branches.	electrical hazard	3152
Worker was shocked when the pole saw he used to trim trees touched an overhead power line.	electrical hazard	3153
Worker was walking in a private homeowners yard and was hit by a motor vehicle.	powered vehicle	3154
Worker collapsed on roof.	fall from height	3155
Worker had one hand on a truck that became energized and the electricity flowed through the workers body.	electrical hazard	3156
Worker inside an unshored trench at a residential construction site was asphyxiated when the trench collapsed.	falling or propelled object	3157
Worker on a drilling rig was injure when his equipment was entangled in a mechanical unit pulling him off the rig.	falling or propelled object	3158
Worker was reeling in a high pressure water hose when the nozzle whipped around and the high pressure water cut the workers carotid artery.	falling or propelled object	3159
The worker was moving and cutting marble and granite covers. While the worker was working on one cover it fell on the worker injure him and injuring another employee and the owner.	falling or propelled object	316
Worker was leaving store while on break tripped on an outside curb and sustained head injuries.	falls, often at ground level	3161
Worker inside the cab of a truck fuel tank being welded to patch a leak was injure when the tank ignited and exploded.	fire/explosion	3162
Worker surveying a pipeline was shocked when the antenna he was using touched an overhead power line.	electrical hazard	3164
Worker performing marine cargo handling activities was injure when a crane fell on him.	falling or propelled object	3165
Worker was injure after being hit by an elevator inside a hospital elevator shaft.	crushed by machinery/moving objects	3166
Worker installing light fixtures in a remodeled building injured when he fell off ladder after contacting live wiring.	electrical hazard	3167
Worker was widening freeway and fell approximately six feet.	fall from height	3168
The worker was insulating pipes from a scissor lift when coworkers noticed the worker collapsed and unresponsive. The worker was transported to the hospital where he was pronounced injured .	various	317
Worker for a freight line company scanning a bar code with a hand held bar code scanner was hit by the mast of a lift truck.	falling or propelled object	3170
Worker performing maintenance on an electrical panel was shocked .	electrical hazard	3171
Worker cutting pipe with a pipe saw injured when the saw kicked back hit the worker in the throat.	falling or propelled object	3172
Worker injured while recovering a boat.	various	3173
Worker inside an elevated lift bucket was shocked when the lift touched an energized wire.	electrical hazard	3174
Worker cutting grating on a ladder injured from a 9foot fall when a piece of the grating fell on him.	fall from height	3175
Worker on a construction site injured after falling two stories from a scaffold and landing on a sidewalk shed.	fall from height	3176
Worker cutting meat at a market injured from severe bleeding when he blacked out falling onto a saw.	crushed by machinery/moving objects	3177
Worker was caughtinbetween forklift and forklifts overhead protection after climbing over steering wheel and inadvertently activating controls.	crushed by forklift or similar	3178
Building maintenance worker changing a device used to stabilize the current in an electrical circuit was shocked .	electrical hazard	3179
The worker was working in a confined space fixing the motor to a fan. At 430 the worker collapsed while inside the confined space. Worker was taken to the hospital where the doctors say the brain activity has deteriorated and will probably not come back around. Worker is not injured at this time.	confined spaces	318
